AOR: File number Received,,Avg APP-AOR:,83,min/max APP-AOR:,,7,334,"Cell colours automatically change (white = APP received, yellow = AOR received, light blue = DM/PPR received within 10 days, blue = DM received over 10 days ago)",,,,,,,,,,,
mohaj,SYDNEY,REG,,,2017-09-18,2017-12-14,2018-04-17,,2018-04-18,,,87,808,,,2019-10-11 at 12:22,"Waiting for DM/PPR. Security not started, everythong else is passesmd. Any updates?101011",,
sruthy123 (family of 3),SYDNEY,REG,IND,INLAND,2017-09-18,2017-12-12,2018-04-08,,,2019-08-06,2019-08-06,85,602,602,687,2019-10-11 at 14:15,,,
yy,SYDNEY,PEQ,CHN,INLAND,2017-09-19,2017-12-18,2018-04-17,,2018-04-17,2019-08-19,2019-08-19,90,609,609,699,2019-08-28 at 15:16,,,
Alexandra,SYDNEY,REG,,,2017-09-20,2017-12-18,2018-09-20,,2018-09-21,2019-01-08,2019-02-05,89,386,414,503,2019-04-10 at 20:40,,,
mmislam3210,SYDNEY,PEQ,BGD,OUTLAND,2017-09-20,2017-09-27,2018-06-11,,2018-05-09,,,7,886,,,2019-08-05 at 9:59,21 months gone. still waiting. Are you sure your AOR was 7 days after application?,,
YD,SYDNEY,PEQ,IND,INLAND,2017-09-21,2017-12-18,2018-04-17,2019-07-27,2018-04-18,2019-09-05,2019-09-05,88,626,626,714,2019-09-05 at 8:25,,,
eirrehcil,,,,INLAND,2017-09-21,2017-12-18,2018-04-17,,,2019-08-16,,88,606,,,2019-08-20 13:34,"2018.05 MER and passed,  2019.08.15 Medical extended and passed.",,
Nadia,OTTAWA,PEQ,,,2017-09-25,2018-01-04,2018-09-26,,2018-09-27,,,101,787,,,2019-08-28 at 15:23,,,
mrpeanutbutter,SYDNEY,PEQ,,,2017-09-25,2018-01-10,2018-05-09,,2018-05-10,,2018-10-23,107,781,286,393,2019-08-13 at 13:31,,,
LEWILL,SYDNEY,PEQ,,,2017-10-02,2018-01-08,2018-10-05,,2018-10-06,,,98,783,,,2019-08-16 at 9:35,PRESENT SECURITY CHECK I COVER ALL THIS MY INFOS AND MY FILE BY THE PRECIOUS BLOOD OF JESUS IN JESUS NAME ,,
MH91,SYDNEY,PEQ,LBN,INLAND,2017-10-02,2018-01-16,2018-04-23,,2018-04-23,2019-08-28,2019-08-28,106,589,589,695,2019-10-16 at 11:04,,,
cssdc,OTTAWA,PEQ,CHN,INLAND,2017-10-02,2018-01-08,2018-04-25,,2018-04-24,2019-08-24,2019-08-26,98,593,595,693,2019-10-16 at 11:04,,,
Jainak,OTTAWA,REG,EGY,INLAND,2017-10-04,2018-01-10,2018-04-23,,2018-04-24,2019-08-29,2019-08-29,98,596,596,694,2019-10-16 at 11:04,,,
Zod91,SYDNEY,REG,IND,INLAND,2017-10-04,2018-01-10,2018-04-23,,2018-04-24,2019-09-04,2019-08-26,98,602,593,691,2019-09-04 at 14:51,"The medicals were re-updated as passed on August 21, 2019. What do you mean ""re-update""?--- I mean they rechecked it internally and without even asking for remeds they updated it as passed August 21, 2019",,
OSAMA ALGALAWI,,,LBY,INLAND,2017-10-04,2018-01-15,2018-04-24,,,2019-08-29,,103,591,,,2019-10-11 11:09,,,
Mahmoud K,SYDNEY,REG,,,2017-10-05,2018-01-12,2018-04-24,,2018-04-21,,,99,779,,,2019-10-21 at 9:54, NO updates yet! Any updates 191021?,,
quebec91,OTTAWA,PEQ,,,2017-10-05,2018-01-16,2018-04-23,,,,,103,775,,,2019-10-21 at 9:54,Any updates 191021?,,
jimk,,,,,2017-10-16,2018-01-20,2018-06-01,2019-08-19,,2019-08-28,2019-08-29,96,585,586,682,2019-08-29 12:45,,,
NSD,SYDNEY,PEQ,,,2017-10-18,2018-01-17,2018-03-29,,2018-10-31,,,91,774,,,2019-10-21 at 9:55,"Passed medicals in April 2018, Background check processing since April. Addtional Documents (Certificate of no criminal conviction) request 30-10-2018. ( Any updated?) Nothing, still waiting for DM and passport request... Any updates 191021?",,
Ma_hafe,SYDNEY,REG,,INLAND,2017-10-20,2018-01-19,2018-05-07,,2018-05-08,,,91,772,,,2019-10-21 at 9:55,Any updates 191021?,,
JMAATA,OTTAWA,PEQ,,,2017-10-23,2017-12-22,2018-05-07,,2018-05-07,2018-11-02,2018-11-23,60,315,336,396,2019-08-26 at 10:44,,,
Ayushverma265,SYDNEY,PEQ,,,2017-10-24,2018-01-24,,,2018-05-07,2018-10-22,2018-10-22,92,271,271,363,2019-10-16 at 11:06,,,
Cloverchow ,OTTAWA,PEQ,,,2017-10-25,2018-01-23,2018-05-09,,,2018-10-18,2018-11-23,90,268,304,394,2019-08-13 at 13:05,,,
Fez,SYDNEY,PEQ,,INLAND,2017-10-25,2018-01-24,Upfront,,2018-05-07,,2018-10-26,91,767,275,366,2019-08-21 at 14:50,,,
Budd,SYDNEY,PEQ,,,2017-10-25,2018-01-23,2018-05-07,,,2018-10-19,2018-10-26,90,269,276,366,2019-04-01 at 17:17,,,
QWWG,SYDNEY,PEQ,,,2017-10-30,2018-01-22,2018-07-24,,2018-07-24,,,84,769,,,2019-10-21 at 9:55,Any updates 191021?,,
yesh,SYDNEY,REG,IND,INLAND,2017-11-01,2018-01-16,Upfront,,2018-07-26,2019-09-06,2019-08-26,76,598,587,663,2019-10-11 at 11:08,,,
Vince,SYDNEY,PEQ,MYS,OUTLAND,2017-11-08,2018-01-29,2018-06-21,,2018-06-02,2019-03-19,2019-03-19,82,414,414,496,2019-10-05 at 13:07,,,
leokun,OTTAWA,PEQ,TUR,INLAND,2017-11-15,2018-02-06,2019-01-03,,2019-01-02,,,83,754,,,2019-10-05 at 13:08," SC started in AUG 2019 acourding to the angent on the phone, everything else passed, still waiting 05/10/19",,
DenKoba,SYDNEY,PEQ,RUS,,2017-11-15,2018-02-06,2018-06-20,,2018-07-24,2019-03-21,2019-03-22,83,408,409,492,2019-08-06 at 16:09,,,
Denbond,SYDNEY,REG,RUS,OUTLAND,2017-11-15,2018-05-12,2019-09-17,2019-10-03,,2019-10-08,2019-10-24,178,514,530,708,2019-10-25 at 2:48,,,
nizgoon,OTTAWA,PEQ,,,2017-11-17,2018-02-06,2018-07-26,,2018-07-27,2019-03-19,2019-03-19,81,406,406,487,2019-08-28 at 15:21, New passport req for the almost expireing wife's passport. ,,
🚴‍♂️ flvlef,SYDNEY,PEQ,FRA,INLAND,2017-11-22,2018-02-08,2019-01-07,,2019-01-07,2019-06-06,2019-06-06,78,483,483,561,2019-10-01 at 10:04,,,
RMPN,OTTAWA,PEQ,BRA,,2017-11-30,2018-02-16,2018-07-30,,2018-07-31,2019-04-03,2019-03-27,78,411,404,482,2019-08-13 at 13:32,,,
NeverEndingProcessingTime,SYDNEY,REG,BRA,INLAND,2017-12-06,2018-02-20,2018-04-28,,2018-12-03,,,76,740,,,2019-10-17 at 11:28,Any update 191017?,,
paras_123(family of 5),,,PAK,OUTLAND,2017-12-10,2018-02-10,2019-09-17,,2019-03-01,2019-10-10,2019-10-11,62,607,608,670,2019-10-11 14:14,"Add Docs Reqd Aug 2018  , Add Doc Submitted in Sep 2018 ",,
Noor0810,OTTAWA,REG,,OUTLAND,2017-12-11,2018-02-21,2019-02-05,,,2019-09-26,2019-09-26,72,582,582,654,2019-09-30 at 12:49,,,
Ahoo ,SYDNEY,PEQ,IRN,INLAND,2017-12-18,2018-02-27,2018-03-30,,2018-08-03,,,71,733,,,2019-10-24 at 10:11,No updates (April 15th)/ cv request AUG 25th/ have you heard anything after CV request? I also received this request. Thanks. Any updates 191024?,,
MotchaSui,OTTAWA,REG,CHN,INLAND,2017-12-21,2018-02-28,2018-04-18,,2018-08-03,,,69,732,,,2019-10-04 at 12:05,Any update?No May 16 When did you wite this? This year or last? 2019/05/16 still no updates btw as of 19/10/04,,
Nannu (family of 3),SYDNEY,REG,IND,INLAND,2017-12-21,2018-02-28,2018-04-18,2018-10-10,2018-07-03,2019-11-02,2019-11-04,69,612,614,683,2019-10-21 at 12:18,Congrats!,,
tonyware,OTTAWA,REG,,,2017-12-23,2018-02-13,2018-07-04,,2018-07-04,,,52,747,,,2019-10-21 at 13:39,Any updates191105?,,
Marvin,OTTAWA,REG,AUS,INLAND,2017-12-24,2018-03-02,2018-03-28,,,2019-08-02,,68,518,,,2019-09-26 at 3:45,,,
 坚苗,SYDNEY,PEQ,,,2017-12-24,2018-04-26,,,,,,123,675,,,2019-10-16 at 11:07,Any updates 191030?,,
RSL,SYDNEY,REG,IND,INLAND,2018-01-08,2018-03-05,2018-04-18,,2018-08-15,2019-08-27,2019-08-27,56,540,540,596,2019-10-11 at 11:08,,,
arc6016,,,NPL,OUTLAND,2018-01-10,2018-03-10,2018-08-01,2019-08-01,,2019-09-07,,59,546,,,2019-09-09 12:31,,,
sc---,OTTAWA,PEQ,CHN,INLAND,2018-01-18,2018-03-10,2018-04-18,,2018-08-10,2019-08-03,2019-08-06,51,511,514,565,2019-08-06 at 7:55,,,
XW,SYDNEY,PEQ,CHN,INLAND,2018-01-25,2018-03-14,2018-04-18,,2018-08-16,,,48,718,,,2019-10-17 at 13:51,Security started finally...,,
Mel,SYDNEY,PEQ,,INLAND,2018-02-08,2018-03-20,2018-08-24,,2018-08-25,2019-10-15,2019-09-23,40,574,552,592,2019-10-15 at 15:10,Done & Gone! Good luck everybody!! :) ,,
lalaLand,SYDNEY,REG,IND,INLAND,2018-02-14,2018-03-29,2019-09-19,,2019-03-15,,,43,703,,,2019-10-11 11:08,,,
Racineba,,,,INLAND,2018-02-16,2018-03-24,upfront,,,2019-09-13,,36,538,,,2019-10-11 at 12:16,May 24 2019 Medical passed/ August 26 2019 Additional document request /September 20 2019 LAnding Interview and Confirmation of PR at the Etobicoke office,,
gevis84,OTTAWA,PEQ,BRA,INLAND,2018-02-26,2018-03-28,2018-06-08,,2018-09-12,2019-08-22,2019-08-26,30,512,516,546,2019-08-26 at 10:43,,,
Catsy88,SYDNEY,PEQ,FRA,INLAND,2018-02-26,2018-03-28,2018-09-25,,2019-03-30,,,30,704,,,2019-10-11 11:08,,,
Jsierra1010  ,SYDNEY,REG,COL,INLAND,2018-02-26,2018-04-27,2018-06-04,,2018-09-22,2018-11-26,2018-11-26,56,213,213,269,2019-10-29 at 13:54,,,
shannonT,,,,,2018-02-26,2018-03-28,2019-09-25,,,2019-10-19,2019-10-22,30,570,573,603,2019-10-22 at 15:46,Medical received: 03 October 2019,,
ghapama,,,FRA,INLAND,2018-03-02,2018-03-28,2019-09-30,,,,,26,704,,,2019-10-09 13:34,,,
Dboy,OTTAWA,PEQ,,,2018-03-03,2018-04-09,,,,,,37,692,,,2019-10-11 at 11:07,,,
ALB,SYDNEY,PEQ,FRA,INLAND,2018-03-08,2018-04-12,2019-10-15,,,,,35,689,,,2019-10-15 at 10:28,,,
rsk,OTTAWA,REG,IND,INLAND,2018-03-15,2018-04-17,2018-09-26,,2018-09-28,2019-07-22,2019-07-15,33,461,454,487,2019-08-13 at 13:34,GCMS notes helped it seems.,,
Firewall,SYDNEY,PEQ,FRA,INLAND,2018-03-16,2018-04-20,2018-10-04,,,2019-06-27,2019-06-28,35,433,434,469,2019-07-02 at 8:47,"Guys, I ordered my notes exactly a month ago and I think it helped getting decision made!",,
FV,SYDNEY,PEQ,USA,INLAND,2018-03-19,2018-04-23,2018-10-04,,2018-10-06,,2019-06-27,35,678,430,465,2019-10-23 at 10:25,,,
Nits291092,SYDNEY,REG,IND,INLAND,2018-03-21,2018-05-28,,,2019-07-12,,,68,643,,,2019-10-11 at 14:18,They sent me mail to send Rprf fee 12 July 2019,,
Soni94 ,,PEQ,EGY,OUTLAND,2018-03-25,2018-05-01,2018-05-01,,2018-11-01,2019-07-30,,37,455,,,2019-10-20 at 6:09,,,
Jeff Z,OTTAWA,PEQ,CHN,INLAND,2018-03-28,2018-05-08,2018-10-11,,2018-10-13,2019-07-29,2019-07-29,41,447,447,488,2019-10-11 at 11:07,,,
Y.Z,SYDNEY,PEQ,EGY,INLAND,2018-03-28,2018-05-29,2018-10-11,,2018-10-13,2019-10-08,2019-10-08,62,497,497,559,2019-10-19 at 5:25,,,
Seema22,,,IND,,2018-04-01,2018-05-30,2018-10-01,,,2019-07-27,2019-07-31,59,423,427,486,2019-10-11 at 11:07,,,
EP2015,SYDNEY,PEQ,ALB,INLAND,2018-04-09,2018-05-11,2018-05-11,2019-08-27,2019-08-28,2019-10-16,2019-10-16,32,523,523,555,2019-10-18 at 21:13,"Remedical: request 27 August, 2019, done on 04 Sept 2019; passed on 14 Sept 2019",,
Arvin,SYDNEY,REG,IRN,,2018-04-26,2018-06-20,2018-10-24,,2018-10-25,,,55,620,,,2019-09-11 at 19:39,did your background check start? Yes. It started about two/three month ago.,,
adkar1983,SYDNEY,PEQ,,,2018-04-27,2018-06-21,,,,,,55,619,,,2019-07-25 at 17:14,,,
Holà,SYDNEY,PEQ,TUN,INLAND,2018-05-02,2018-06-28,2019-10-21,,,,,57,612,,,2019-10-23 at 10:28,Background check still running. Favorable results for medical received today Nov 6.,,
Paul,SYDNEY,REG,LBN,OUTLAND,2018-05-02,2018-06-29,,,,,,58,611,,,2019-09-04 at 9:25,,,
cissy,SYDNEY,PEQ,,,2018-05-02,2018-07-31,2018-06-06,,,,,90,579,,,2019-07-25 at 17:16,,,
Ninetea,OTTAWA,PEQ,,,2018-05-02,2018-05-25,2018-05-25,,2018-11-03,,,23,646,,,2019-06-03 at 9:56,"Medical, Eligibility and Criminal Check passed, Security check not yet started.",,
RoyB,SYDNEY,PEQ,ESP,INLAND,2018-05-07,2018-06-14,2018-11-01,,2018-11-03,2019-08-13,2019-07-31,38.44444444,424.5555556,411.5555556,450,2019-08-28 at 15:19,"Medical passed on Nov. 9th. Additional Police Records request on November 2nd, sent on Nov. 18th./ ""the documents you provided are being reviewed"" 2019/03/25 //how long since ur docs are being reviewed? 5 months 2019/05/06 // have you requested the GCMS notes? No ",,
LUCY,SYDNEY,PEQ,MDA,INLAND,2018-05-09,2018-07-09,2019-10-21,,,,,61,601,,,2019-10-29 at 8:09,"Backrgound check started // Not yet (June 26th) // on 25th of September - request of payment (right of permanent residence), paid same day / Medical passed on 25th of October",,
KGAN,SYDNEY,PEQ,,,2018-05-11,2018-07-10,2018-10-24,,,,,60,600,,,2019-10-11 at 11:05,,,
GLAZE,SYDNEY,REG,PHL,INLAND,2018-05-14,2018-05-30,upfront,,2018-11-16,,,16,641,,,2019-09-24 at 17:38,"RPRF Paid, Medical Passed, PCC requested.",,
GRAF,SYDNEY,,,,2018-05-22,2018-07-20,2018-11-15,,2018-11-16,2019-08-22,2019-08-22,59,398,398,457,2019-08-26 at 10:43,,,
CharlesHoang,,PEQ,VNM,INLAND,2018-05-28,2018-07-28,2018-11-15,,2018-11-16,2019-08-29,2019-08-29,61,397,397,458,2019-09-01 9:09,Medical exam + PPC submitted: 5 Dec 2018,,
Taco,SYDNEY,PEQ,COL,INLAND,2018-06-07,2018-08-08,2018-12-07,,2018-11-17,2019-09-11,2019-09-11,62,399,399,461,2019-10-20 6:10,,,
Danny ,SYDNEY,PEQ,COL,INLAND,2018-06-08,2018-08-08,2018-08-29,,2019-06-19,2019-06-26,2019-06-26,61,322,322,383,2019-08-28 at 15:34, requested me my police background in october 2018,,
kapaav,SYDNEY,REG,BLR,OUTLAND,2018-06-18,2018-08-14,2019-09-25,2019-10-02,,2019-10-08,2019-10-16,57,420,428,485,2019-10-18 at 16:32,,,
EVA ,SYDNEY,PEQ,AUS,OUTLAND,2018-06-20,2018-08-15,2018-11-01,,,2019-08-28,2019-09-09,56,378,390,446,2019-10-11 at 11:05,,,
Hoppi,SYDNEY,PEQ,AUS,INLAND,2018-06-21,2018-08-20,2018-11-19,,2018-11-20,2019-09-17,2019-09-19,60,393,395,455,2019-10-09 at 15:20,didnt ask for gcms,,
Sara,SYDNEY,PEQ,IRN,INLAND,2018-06-25,2018-08-19,2018-12-12,,2018-11-30,2019-09-03,2019-09-04,55,380,381,436,2019-09-17 at 20:56,"Police certificate requested on 2018-11-29// anyhing after this? Medical got passed 3 days after  the request. Background check in process since November (March 25th). Called CIC twice no new updates (March 25th). // any news? Not yet/ August 29, 2019, A newupdate asking for a resume was received. / Background check was complete in December 2018. Basically everything was done in December 2019, and it took another 9 months to reopen the file. So 9 months for nothing!!!",,
Titan (family of 3),SYDNEY,REG,CHN,OUTLAND,2018-06-25,2019-01-22,,,,,,211,404,,,2019-10-11 at 14:15,,,
andienzen,SYDNEY,PEQ,DEU,INLAND,2018-06-29,2018-08-22,2018-11-20,,2018-11-21,2019-09-09,2019-09-09,54,383,383,437,2019-09-25 at 20:00,"GCMS notes (2019-06-21): Eligibility, Medical, Criminality: passed; Security: not started; File location: Ready for PS; Ghost update on 2019-09-06 - mailed everything on Sept. 9, CoPR received on Sept. 25",,
lawrenceraj,,,,,2018-07-05,2018-08-25,2018-10-23,,2019-10-08,2019-10-08,,51,409,,,2019-10-09 13:24,Payment Made - OCT 23rd 2018  Medical passed and done - OCT26th 2018.,,
Mab,,PEQ,IRN,INLAND,2018-07-09,2018-09-18,,,,,,71,530,,,2019-08-05 at 16:37,,,
Konvict,SYDNEY,PEQ,DEU,INLAND,2018-07-16,2018-09-07,,,,,,53,541,,,2019-10-20 at 16:47,,,
Lester,SYDNEY,PEQ,,,2018-07-17,2018-09-14,,,,,,59,534,,,2019-10-09 at 16:55,,,
freepalestine,SYDNEY,PEQ,VNM,INLAND,2018-07-18,2018-09-19,,,,,,63,529,,,2019-07-01 at 0:18,,,
lcm ,SYDNEY,PEQ,KOR,OUTLAND,2018-07-19,2018-09-13,2018-11-22,,2018-11-24,2019-06-02,2019-06-27,56,262,287,343,2019-10-11 at 11:04,"1st GCMS : March 6th  2nd GCMS requested on May 20th (Security still not started) // Got PPR on 27th June. // Sent PP on 6.28, Approved 7.16 //",,
MB,SYDNEY,PEQ,MEX,INLAND,2018-07-23,2018-09-20,,,,,,59,528,,,2019-07-03 at 13:00,,,
Vellox,SYDNEY,REG,BRA,INLAND,2018-07-23,2018-09-04,,,,,,43,544,,,2019-09-15 at 19:35,,,
